2026-03-17 22:54:39 | INFO | portfolio |     GS      0.85%
2026-03-17 22:54:39 | INFO | portfolio |     WHEAT   0.85%
2026-03-17 22:54:39 | INFO | portfolio |     IG_ETF  0.85%
2026-03-17 22:54:39 | INFO | portfolio |     PG      0.85%
2026-03-17 22:54:39 | INFO | portfolio |     TIPS_ETF  0.85%
2026-03-17 22:54:39 | INFO | portfolio | 
  ✓ Saved to reports/allocation.json
2026-03-17 22:54:39 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-producer-1, node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2026-03-17 22:54:39 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-producer-1, node_id=1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2026-03-17 22:54:39 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2026-03-17 22:54:39 | INFO | consumers |   ✓ Rebalance complete | regime=BEAR | sharpe=0.962
2026-03-17 22:54:39 | INFO | consumers |     JNJ        25.0%
2026-03-17 22:54:39 | INFO | consumers |     GOOGL      22.5%
2026-03-17 22:54:39 | INFO | consumers |     SILVER     16.3%
2026-03-17 22:54:39 | INFO | consumers |     AMD        4.5%
2026-03-17 22:54:39 | INFO | consumers |     WMT        2.7%
2026-03-17 22:56:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 22:58:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:00:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:02:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:04:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:06:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:08:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:10:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:12:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:14:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:16:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:18:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:20:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:22:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:24:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:26:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:27:16 | WARNING | kafka.coordinator.heartbeat | Heartbeat failed for group alphaflow-allocation-consumer because it is rebalancing
2026-03-17 23:27:16 | INFO | kafka.coordinator.consumer | Revoking previously assigned partitions {TopicPartition(topic='alphaflow.features.ready', partition=0)} for group alphaflow-allocation-consumer
2026-03-17 23:27:16 | INFO | kafka.coordinator | (Re-)joining group alphaflow-allocation-consumer
2026-03-17 23:27:16 | INFO | kafka.coordinator | Successfully joined group alphaflow-allocation-consumer <Generation 8 (member_id: kafka-python-2.3.0-5b69da6f-a848-453e-8f7d-179e5121de1d, protocol: range)>
2026-03-17 23:27:16 | INFO | kafka.coordinator | Elected group leader -- performing partition assignments using range
2026-03-17 23:27:16 | INFO | kafka.consumer.subscription_state | Updated partition assignment: [TopicPartition(topic='alphaflow.features.ready', partition=0)]
2026-03-17 23:27:16 | INFO | kafka.coordinator.consumer | Setting newly assigned partitions {TopicPartition(topic='alphaflow.features.ready', partition=0)} for group alphaflow-allocation-consumer
2026-03-17 23:28:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:30:22 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
2026-03-17 23:32:23 | INFO | consumers |   Heartbeat | Active threads: ['allocation', 'monitor']
